Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed,Slaughtered,Deaths
2023,Jul-Dec 2023,Africa,South Africa,Gauteng,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H7N6,Domestic,Birds,-,-,-,30,Animal,6,0,0,6
2023,Jul-Dec 2023,Africa,South Africa,KwaZulu-Natal,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,,-,-,3,-,-,0,0,0,0
2023,Jul-Dec 2023,Africa,South Africa,KwaZulu-Natal,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,-,-,-,87680,Animal,302,33078,0,302
2023,Jul-Dec 2023,Africa,South Africa,Limpopo,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,,-,-,6,-,-,0,0,0,0
2023,Jul-Dec 2023,Africa,South Africa,Limpopo,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,-,-,-,1169556,Animal,221090,543966,0,115090
2023,Jul-Dec 2023,Africa,South Africa,Mpumalanga,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,,-,-,9,-,-,0,0,0,0
2023,Jul-Dec 2023,Africa,South Africa,Mpumalanga,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,-,-,-,1289353,Animal,12843,673807,0,12843
2023,Jul-Dec 2023,Africa,South Africa,North West,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,,-,-,16,-,-,0,0,0,0
2023,Jul-Dec 2023,Africa,South Africa,North West,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,-,-,-,1766310,Animal,128240,862882,0,28924
2023,Jul-Dec 2023,Africa,South Africa,Western Cape,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,,-,-,13,-,-,0,0,0,0
2023,Jul-Dec 2023,Africa,South Africa,Western Cape,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,-,-,-,80101,Animal,204,64603,0,77
2023,Jul-Dec 2023,Americas,Mexico,Zacatecas,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,,-,-,1,-,-,0,0,0,0
2023,Jul-Dec 2023,Americas,Mexico,Zacatecas,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,94,Animal,50,44,0,50
2024,Jan-Jun 2024,Africa,Mozambique,Inhambane,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7 (N untyped),Domestic,Birds,-,-,-,33,Animal,0,34591,0,912
2024,Jan-Jun 2024,Americas,Mexico,Guanajuato,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,,-,-,2,-,-,0,0,0,0
2024,Jan-Jun 2024,Americas,Mexico,Guanajuato,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,861,Animal,861,184,0,677
2024,Jan-Jun 2024,Americas,Mexico,Puebla,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,,-,-,5,-,-,0,0,0,0
2024,Jan-Jun 2024,Americas,Mexico,Puebla,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,193,Animal,61,135,0,58
2024,Jan-Jun 2024,Americas,Mexico,San Luis Potos¨ª,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,,-,-,1,-,-,0,0,0,0
2024,Jan-Jun 2024,Americas,Mexico,San Luis Potos¨ª,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,-,-,-,71,Animal,56,16,0,55
2024,Jan-Jun 2024,Europe,Germany,Niedersachsen,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N5,Domestic,,-,-,1,-,-,0,0,0,0
2024,Jan-Jun 2024,Europe,Germany,Niedersachsen,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N5,Domestic,Birds,-,-,-,90879,Animal,6047,84879,0,6000
2024,Jan-Jun 2024,Oceania,Australia,Corangamite,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N9,Domestic,Birds,5687,134830,1,152194,Animal,14000,151894,0,300
2024,Jan-Jun 2024,Oceania,Australia,Golden Plains,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N3,Domestic,Birds,5683,-,7,1161628,Animal,10211,1158086,0,3542
2024,Jan-Jun 2024,Oceania,Australia,Hawkesbury,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N8,Domestic,Birds,5720,-,2,322000,Animal,24000,202000,0,120000
2024,Jan-Jun 2024,Oceania,Australia,Hawkesbury,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H7N8,Domestic,Birds,5755,-,3,10,Animal,7,3,0,7
2024,Jan-Jun 2024,Oceania,Australia,Unincorporated Australian Capital Territory,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N8,Domestic,Birds,5720,135843,1,170000,Animal,14200,162325,0,7675
2024,Jan-Jun 2024,Oceania,Australia,Unincorporated Australian Capital Territory,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H7N8,Domestic,Birds,5755,136514,1,3,Animal,1,2,0,1
2024,Jul-Dec 2024,Africa,South Africa,Dr Beyers Naude,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,5095,139509,1,320,Animal,7,0,0,0
2024,Jul-Dec 2024,Oceania,Australia,Hawkesbury,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N8,Domestic,Birds,5720,136973,1,11,Animal,0,11,0,0
2024,Jul-Dec 2024,Oceania,New Zealand,Waitaki,High pathogenicity avian influenza viruses (poultry) (Inf. with),H7N6,Domestic,Birds,6077,144265,1,220000,Animal,13500,126000,0,3500
