# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat May 24 15:50:14 CST 2025 [seed=1748073007096]
# -window -working -options
state	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefficients8	country.coefficients9	country.coefficients10	country.coefficients11	country.coefficients12	country.coefficients13	country.coefficients14	country.coefficients15	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.coefIndicators8	country.coefIndicators9	country.coefIndicators10	country.coefIndicators11	country.coefIndicators12	country.coefIndicators13	country.coefIndicators14	country.coefIndicators15	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.coefficientsTimesIndicators8	country.coefficientsTimesIndicators9	country.coefficientsTimesIndicators10	country.coefficientsTimesIndicators11	country.coefficientsTimesIndicators12	country.coefficientsTimesIndicators13	country.coefficientsTimesIndicators14	country.coefficientsTimesIndicators15
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20000	-0.5788566636806931	-2.706101993846985	1.0506389794333917	1.7818459174509378	-1.9320067791636306	2.270389518844349	1.9026459420223008	2.904437648400542	0.9920264855981288	-3.193487625653148	1.053834394391244	0.5868955219839138	-2.3048536531834163	2.83790133665198	0.31263246258944033	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5788566636806931	-0.0	1.0506389794333917	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	2.83790133665198	0.31263246258944033
40000	-0.944346061403953	-1.5950081435523595	0.9795653050652053	0.8058563219972378	-1.7163762606566237	0.431214202264661	0.2027701079410108	0.5559329714047028	3.2278544211286593	0.25262075224707203	-0.17822483770254127	0.5249301475166361	1.487158998749215	3.0030864010091176	0.3651622316559805	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.944346061403953	-0.0	0.9795653050652053	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	3.0030864010091176	0.3651622316559805
60000	-0.45462496857467344	-1.4949676351238266	0.678208735406068	1.0268263072834651	-0.4017701700244057	0.6543438390715149	0.13433013420523507	0.6575203212678706	1.0747538910029943	-1.130675315346911	-0.11797548080879723	-0.2824426966055166	0.5486097295980689	1.9971655796012575	0.4061482781935512	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-0.45462496857467344	-0.0	0.0	0.0	-0.4017701700244057	0.6543438390715149	0.0	0.6575203212678706	0.0	-0.0	-0.0	-0.2824426966055166	0.0	1.9971655796012575	0.4061482781935512
80000	-0.44994677540549916	-0.30944883134242085	-0.6245512983655228	0.36445572162021556	-0.42733795446552914	1.0081847384162639	-1.5190774186221367	0.512991401516404	0.2624791818095325	1.331144068024696	1.4929054646538538	1.1926543911202165	0.320579850082427	1.183890687501779	0.5115537956360117	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.44994677540549916	-0.0	-0.0	0.0	-0.42733795446552914	1.0081847384162639	-0.0	0.512991401516404	0.0	0.0	0.0	0.0	0.0	1.183890687501779	0.5115537956360117
100000	-1.0555295786998784	2.564399997594183	0.7642686337456945	0.6297097927696499	-0.549855226505649	0.7541970977430358	-0.2032758115635793	-0.6946949900515034	1.5829985256195278	-2.4356935955287224	-1.1838709462960533	1.9164051522641012	-1.9025524298303167	1.3751130308122779	0.5310277170837657	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.0555295786998784	0.0	0.7642686337456945	0.0	-0.549855226505649	0.7541970977430358	-0.2032758115635793	-0.0	0.0	-0.0	-0.0	0.0	-0.0	1.3751130308122779	0.5310277170837657
120000	-1.5414373531526209	0.6833970151275819	2.033984743816854	2.0151664487316716	-0.5176777502386763	2.0850737382813462	-0.14028076498620393	0.7903133456919851	3.208049334752433	-3.4720564258671622	2.6244741637183666	-0.6386860604506319	-5.594138739742521	2.507979633945311	0.5366810333801113	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.5414373531526209	0.0	2.033984743816854	0.0	-0.5176777502386763	2.0850737382813462	-0.14028076498620393	0.0	0.0	-0.0	0.0	-0.0	-0.0	2.507979633945311	0.5366810333801113
140000	-1.2318481793937883	-2.9994805687500343	1.6901130633453585	-0.7808871046396313	-0.552133094463628	1.9690802323076375	-0.25597437612094515	-0.2451395311916529	1.5333599290466362	-2.9935777379705333	0.9904939482941506	0.4423387719846086	-2.3128971232211644	2.8086703819981826	0.4751067289132755	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-1.2318481793937883	-0.0	1.6901130633453585	-0.0	-0.552133094463628	1.9690802323076375	-0.25597437612094515	-0.0	0.0	-0.0	0.0	0.4423387719846086	-0.0	2.8086703819981826	0.4751067289132755
160000	-1.011345784271292	-1.7135332151398104	1.2845706243955912	3.080762444352454	-0.6154763412849592	1.155237770396605	-0.2890278309420016	-0.4925884567515451	-1.6852187977174573	-1.9648036638029365	1.422118099901991	1.3786034839503911	-0.9306476567734935	2.6734634810360345	0.5739578632303964	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.011345784271292	-0.0	1.2845706243955912	0.0	-0.6154763412849592	1.155237770396605	-0.2890278309420016	-0.0	-0.0	-0.0	0.0	0.0	-0.0	2.6734634810360345	0.5739578632303964
180000	-0.9705336007254254	-0.1892321905392651	1.3769980057499618	0.550872356008657	-0.638491517630622	1.4260605075496229	-0.38737245415414495	-0.1271694795467932	-0.05553972515116543	1.8676924678860343	-0.20618586155447943	-1.5150905004916864	-1.4544111942662439	1.8857525420085233	0.5283074706854304	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.9705336007254254	-0.0	1.3769980057499618	0.0	-0.638491517630622	1.4260605075496229	-0.38737245415414495	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	1.8857525420085233	0.5283074706854304
