# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 29 09:34:30 CST 2025 [seed=1748482469345]
# H7glm.xml
state	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefficients8	country.coefficients9	country.coefficients10	country.coefficients11	country.coefficients12	country.coefficients13	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.coefIndicators8	country.coefIndicators9	country.coefIndicators10	country.coefIndicators11	country.coefIndicators12	country.coefIndicators13	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.coefficientsTimesIndicators8	country.coefficientsTimesIndicators9	country.coefficientsTimesIndicators10	country.coefficientsTimesIndicators11	country.coefficientsTimesIndicators12	country.coefficientsTimesIndicators13
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20000	-2.9208182377527354	0.16366677269792201	2.1482251058956936	-1.2875729382586707	1.7354577940483487	-1.547351458945385	-0.4037498978891683	1.0192721172898926	-1.3066949163312005	2.798094080344269	-1.701696840350798	0.4722416956118758	-1.5606175032223062	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.16366677269792201	2.1482251058956936	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
40000	-4.085765548505264	0.19653418452336288	1.9412289064571575	-0.03904430692490925	1.3315940410185054	-2.5561674697022485	-0.9477299304001265	-3.6732050980346687	-0.3055335727348943	1.7059599672983496	-2.3133346269546244	-1.2633683168669485	-0.14899380470882415	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0	0.19653418452336288	1.9412289064571575	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-1.2633683168669485	-0.0
60000	-5.040740610588735	0.15720733346211374	1.5947235596648153	-1.8702120245318643	0.6590985888566063	-3.517028577482373	0.3738886175499748	-1.4658912151578005	-0.9855363233939994	3.5192996966189662	-1.15103006593756	-1.0509545777048888	-3.3736242577248583	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0	0.15720733346211374	1.5947235596648153	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-1.0509545777048888	-0.0
80000	-0.1005458451106521	0.1957661090758648	1.645536425337198	-0.9238862223943415	2.460162161826373	0.23607442197261705	0.6438738729853952	-0.7822656247222645	1.1604940222704654	-0.2805461676920855	-0.11843922924375055	-1.2292862368129962	-0.5687859150795188	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0	0.1957661090758648	1.645536425337198	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-1.2292862368129962	-0.0
100000	0.7441575923394381	0.35042548535285767	1.3948697811941522	-3.235333114663476	-0.6902912593417035	1.722546599310891	1.6161870224697934	0.6143584736322476	-1.6971231678567387	-0.4646397629462419	-2.0182213502410025	-0.9231482607818511	-3.247274294892857	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.35042548535285767	1.3948697811941522	-0.0	-0.6902912593417035	0.0	0.0	0.6143584736322476	-0.0	-0.4646397629462419	-0.0	-0.9231482607818511	-0.0
120000	1.2410110703527915	0.20113639531020425	0.7648977850492347	0.5314414087446726	-0.5078425346769643	2.09437895311997	1.5609416379117258	1.2146953078979252	0.11324248060527757	-2.29313580749365	-0.25780947625629713	-1.7877100688711156	-1.7912946453524827	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20113639531020425	0.0	0.0	-0.5078425346769643	2.09437895311997	0.0	1.2146953078979252	0.0	-0.0	-0.0	-0.0	-0.0
140000	0.09841248654130275	0.7834534149703767	0.37234917708250304	0.6122406556835105	-0.5504976820187174	2.0451123477749826	3.0437384360176867	1.1034478049855936	2.359958220836542	-0.5456744439996177	0.8673129300290241	-0.12857233697962714	-1.134382514756949	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5504976820187174	2.0451123477749826	0.0	1.1034478049855936	0.0	-0.0	0.0	-0.0	-0.0
160000	-0.8083714379984761	-1.8308189734907168	-1.3621857134191653	1.9900840189416045	-0.41556145700710817	1.122121371900811	3.567852414785432	1.5227752248359394	2.5888320474007656	0.9957908537913698	0.33434962196286244	2.679451742375119	-1.9290528411454402	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.41556145700710817	1.122121371900811	0.0	1.5227752248359394	0.0	0.0	0.33434962196286244	0.0	-0.0
180000	-0.7259058366878205	2.075868157477917	-1.7851134532991237	-0.05003876143613119	-0.47660446644545384	0.9375557316628751	3.9101477565794873	1.6204897195624284	0.3634567505740231	1.9976872861686783	0.4360333088830109	2.7818201073617206	-0.08747974402543936	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.47660446644545384	0.9375557316628751	0.0	1.6204897195624284	0.0	0.0	0.4360333088830109	0.0	-0.0
200000	0.4045635566322326	0.19649783468215315	1.2793673454090446	-3.7541334421245254	-0.43399453858915027	0.6812190723292417	-1.976777803200827	1.7257706778857012	0.6558586768099588	-0.7099893866128785	0.3808818230872527	2.013900468852457	-2.3725119850139307	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.19649783468215315	0.0	-0.0	-0.43399453858915027	0.6812190723292417	-0.0	1.7257706778857012	0.0	-0.0	0.3808818230872527	0.0	-0.0
220000	-1.0202920021749218	-0.7794424456009716	1.6501111754022104	0.17108312418915717	-0.46052258324432926	0.6304831022307071	-0.4616906542560883	2.1805502431585237	0.8500894401266741	0.5151865004002684	0.5600313987777791	-0.6092900174464326	-0.8905845000148007	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.46052258324432926	0.6304831022307071	-0.0	2.1805502431585237	0.0	0.5151865004002684	0.5600313987777791	-0.0	-0.0
240000	1.511657284904865	2.3270450891199737	-1.5987113954941021	-0.1987607388598599	-0.4658070354338021	-0.7773917364792428	2.4701931593260777	1.8152864902841264	4.396961230401093	-0.3448542531602116	0.671164548797779	-0.6620105525185437	-1.3442259570788768	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.0	-0.0	-0.4658070354338021	-0.0	0.0	1.8152864902841264	0.0	-0.0	0.671164548797779	-0.6620105525185437	-0.0
260000	1.0376184454804729	3.0250477886561855	0.44599222022433405	-2.526843302724331	-0.5347270290158055	-3.4108173809208036	4.771714274428884	1.9942527847679663	2.8851569586262555	1.124987463613715	0.6806205685805511	-0.9308985491022415	-2.9993837733913518	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	-0.0	-0.5347270290158055	-0.0	0.0	1.9942527847679663	0.0	0.0	0.6806205685805511	-0.9308985491022415	-0.0
280000	0.876807234198987	4.309466530638807	-0.4216804778810475	-0.7185466120483973	-0.4748933385658801	-2.3193204924319413	0.9870955598142507	2.172157839092856	2.1071482944230233	-2.3486583499040234	0.7512420692166802	-0.7293522040841702	-0.8235648456750528	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.0	-0.0	-0.4748933385658801	-0.0	0.0	2.172157839092856	0.0	-0.0	0.7512420692166802	-0.7293522040841702	-0.0
300000	-0.3129855691234415	-0.9026357453866283	1.3392616617992366	1.9872311262690454	-0.4537504539609215	0.5965180067958081	-0.5558048804629135	2.110822801183706	-0.4194052727117715	-3.4095542846585896	0.7023505192574134	-1.0291236655688623	1.4328081478470913	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	-0.0	0.0	0.0	-0.4537504539609215	0.0	-0.0	2.110822801183706	-0.0	-0.0	0.7023505192574134	-1.0291236655688623	0.0
320000	-2.8807907170481286	0.09144857543891231	-1.6378645732693182	3.356627119590991	-0.5090609328773459	0.7469921648153052	-2.370698569610597	1.9448051970227143	2.905115055555815	2.1270299502278633	0.5876046642194741	-0.8497630504966026	5.295006754389481	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.0	0.0	-0.0	0.0	-0.5090609328773459	0.0	-0.0	1.9448051970227143	0.0	0.0	0.5876046642194741	-0.8497630504966026	0.0
